Post_Link_ID,Question_Score,Question_Title,Question_Content,Answer,Tags
41588905,3,Using the lambda function for a function that depends on the input,"<p>As an input, I have a list of nonnegative whole numbers which are supposed to be the coefficients of a polynomial. But I also want to evaluate the polynomial for a certain number x.</p>

<p>For example: </p>

<p>If we have <code>L=[2,3,1]</code> as an input and <code>x=42</code> we get <code>2x^2+3x+1=3655</code>
What I want is for example:</p>

<pre><code>&gt;&gt;&gt;p=polynomial([2,3,1])
&gt;&gt;&gt;p(O)
1 
&gt;&gt;&gt;p(42)
&gt;&gt;&gt;3655
</code></pre>

<p>I guess I have to make use of the lambda function somehow, and I do know how it works for two variables on a given function, but in this case the function depends on my input.</p>

<pre><code>def polynomial(coef):
coef=coef[::-1]
for i in range(len(coef)):
    p=lambda x: coef[i]*x**i
    p+=p
return lambda x: p
</code></pre>

<p>This is of course absolute nonsense, as I cannot add up one lambda function to another, but this is what my approaching ""intuition"" is.</p>

<p>Some hints are much appreciated.</p>
","def make_poly(coefs):
    def poly(x):
        result = 0
        for c in coefs:
            result = result * x + c
        return result
    return poly

p = make_poly([2,3,1])

print(p(0))
print(p(42))
",<python><lambda>
46049566,3,Optimizing DFS in python,"<p>I'm learning algorithms and was doing this <a href=""https://leetcode.com/problems/friend-circles/description/"" rel=""nofollow noreferrer"">problem</a> which is finding the number of regions. I tried a depth first search approach using python but I am getting a call stack exceeded error. Can anyone tell me whats the flaw in my implementation and how to overcome it? The code is:</p>

<pre><code>def findCircleNum(A):

    count = 0

    def dfs(row, column):
        if row &lt; 0 or column &gt;= len(A[0]) or row &gt;= len(A) or column &lt; 0:
            return

        if A[row][column] == 0:
            return

        A[row][column] = 0

        for i in range(row-1, row+2):
            if i &gt;= 0 and i&lt;len(A) and A[i][column] == 1:
                dfs(i, column)
        for i in range(column-1, column+2):
            if i &gt;= 0 and i&lt;len(A[0]) and A[row][i] == 1:
                dfs(row, i)




    for row in range(len(A)):
        for column in range(len(A[0])):
            if A[row][column] == 1:
                dfs(row, column)
                count += 1


    return count


findCircleNum(m)
</code></pre>

<p>The input it fails on is a 100x100 matrix of all 1's</p>

<p>The error is get is :</p>

<pre><code>RuntimeError: maximum recursion depth exceeded
</code></pre>

<p>Thanks!</p>
","def findCircleNum(A):
    count = 0
    visited = set()

    def dfs(student):
        if student in visited:
            return

        visited.add(student)
        for i, friend in enumerate(A[student]):
            if friend:
                dfs(i)

    for student in range(len(A)):
        # Note we want to track circles, student without any friend won't count
        if student not in visited and any(A[student]):
            dfs(student)
            count += 1

    return count
",<python><algorithm><depth-first-search>
55542532,3,Checking if a value exists in randomly generated array,"<p>An array is randomly generated by a fixed code and we have to work based on that code. I need to check if a specific value is existing in the array or not.</p>

<p>I have tried these two solutions but none of these works:</p>

<pre><code>if a[5][0] in a
if a[5][0] != """"
</code></pre>

<p>I have provided an example of the array</p>

<pre><code>[['Stack 5', 'Suit C', 9, 0],
  ['Stack 4', 'Suit B', 6, 0],
  ['Stack 6', 'Suit B', 8, 0],
  ['Stack 3', 'Suit C', 3, 0],
  ['Stack 1', 'Suit C', 10, 0],
  ['Stack 2', 'Suit B', 4, 0]]
</code></pre>

<p>Basically I need to check if 'Stack X' is present in the array and then to conduct the operations. Sometimes, the randomly generated array might miss any certain stack, for instance,</p>

<pre><code>[['Stack 5', 'Suit C', 9, 0],
 ['Stack 4', 'Suit B', 6, 0],
 ['Stack 6', 'Suit B', 8, 0],
 ['Stack 3', 'Suit C', 3, 0],
 ['Stack 2', 'Suit B', 4, 0]]
</code></pre>

<p>Stack 1 is not generated in this case and I need to check if it has been generated or not. It is basically an array within an array.</p>

<p><strong>EDIT:</strong>
Thanks for your help guys but I solved the issue using a for loop. Here is the code I used.</p>

<pre><code>for i in range(len(a)):
    if a[i][0] == 'Stack 1':
</code></pre>
","def a_contains(num):
    for item in a:
        if 'Stack {}'.format(num) in item:
            return True
    return False
",<python><arrays><list>
41727941,3,Create New List of Repeated Elements Within a Given List,"<p>I want my program to take a list that is already created, go through it and check for any elements that repeat. Then create a new list with just the elements that repeat.</p>

<pre><code>def repeated_elements(data):
    repeats = []
    for element in data:
        result = data.count(element)
        if result &gt; 1:
            repeats.append(element)
       return data
print (repeated_elements([1, 2, 3, 1, 3]))#should print out [1, 3, 1, 3]
print (repeated_elements([1, 2, 3, 4, 5]))# should print out []
print (repeated_elements([5, 5, 5, 5, 5]))# should print out [5, 5, 5, 5, 5]
print (repeated_elements([10, 9, 10, 10, 9, 8]))# should print out [10, 9, 10, 10, 9]
</code></pre>

<p>The program ends up printing out the starting sets</p>
","def repeated_elements(data):
    repeats = []
    for element in data:
        result = data.count(element)
        if result &gt; 1:
            repeats.append(element)
    return repeats
",<python><python-3.x>
50122606,3,How do I format the floats in specific manner?,"<p>I have two floats numbers as a result for a python code.</p>

<pre><code>30.00 
3995.0081
</code></pre>

<p>I want to format them in such a way they have a total equal no. of digits(example 11). For example the above two digits will produce the following result.</p>

<pre><code>30.000000000
3995.0081000
</code></pre>

<p>If you notice, the no. of degits after the decimal point in these two are unequal yet total no. of degits are the same.
I tried to use the following method</p>

<pre><code>print('{0:11.9f}'.format(number))
</code></pre>

<p>But it produces the following result which is wrong.</p>

<pre><code>30.000000000
3995.008100000
</code></pre>

<p>Is there any method or function which can produce the desired result ?</p>
","def sizer(input_number):
    output = str(float(input_number)) + '0' * 11  # or some number in excess of the desired number of digits 
    output = output[0:12]  # based on the example of 11 desired digits
    print(output)

sizer(30.00)
sizer(3995.0081)
",<python><python-3.x>
42189413,3,Wrong value for cube root in Python,"<p>Using Python 3.5 both at <a href=""https://repl.it/languages/python3"" rel=""nofollow noreferrer"">repl.it</a> and the console in Windows, I get wrong answers for cube roots. </p>

<p>When the input is <code>(-1)**(1/3)</code>,
I get the complex number (0.5000000000000001+0.8660254037844386j) as the answer when it should simply be -1. Any negative value under this root seems to give a complex result. </p>

<p>Am I doing something wrong?</p>
","def cubeRoot(x):
    if x &gt;= 0:
        return x**(1/3)
    else:
        return -(-x)**(1/3)
",<python><math>
44666512,3,Multiply numbers and return the number with a decimal,"<p>I don't know if i am asking my question right, but i want to know if its possible for me to multiply two numbers, and place a decimal depending on the length of the number?</p>

<p>I am currently doing something like this</p>

<pre><code>def multiply(input1, input1):
    num = (input1 * input1)
    if len(str(num)) == 4 and str(num).isdigit():
        print(num)

    return num

multiply(225, 10)
</code></pre>

<p>Instead of returning something like 2250, i will like to return something like 2.25k. Is there an inbuilt function in python to achieve this?</p>

<p>Thank you.</p>

<p>Now i am currently doing something like this</p>

<pre><code>from __future__ import division
    def multiply(string1, string2):
        num = (string1 * string2)
        if len(str(num)) == 4 and str(num).isdigit():
            num = format(num/1000, '.2f')
            print(num + ""k"")
        elif len(str(num)) == 5 and str(num).isdigit():
            num = format(num/1000, '.1f')
            print(num + ""k"")
        return num
multiply(225, 10)
</code></pre>

<p>How efficient is this? </p>
","def m(a, b):
     num = float(a * b)

     if num / 1000 &gt; 1:
         return str(num/1000) + ""k""
     else:
         return num

&gt;&gt;&gt; m(225, 10)
'2.25k'
",<python><math><division>
47779673,3,Return multiple lists in Python,"<p>I have this part of a code:</p>

<pre><code>def readTXT():
    part_result = []
    '''Reading all data from text file'''
    with open('dataset/sometext.txt', 'r') as txt:
        for lines in txt:
            part = lines.split()
            part_result = [int(i) for i in part]
            #sorted([(p[0], p[14]) for p in part_result], key=lambda x: x[1])
            print(part_result)
            return part_result
</code></pre>

<p>And I'm trying to get all lists as a return, but for now I'll get only the first one, what is quite obvious, because my <code>return</code> is inside the for loop. But still, shouldn't the loop go through every line and return the corresponding list? </p>

<p>After doing research, all I found was <code>return list1, list2</code> etc. But have should I manage it, if my lists will be generated from a text file line by line? </p>

<p>It frustates me, not being able to return multiple lists at once. </p>
","def readTXT():
    #create a new array
    major_array = [] 
    part_result = []
    '''Reading all data from text file'''
    with open('dataset/sometext.txt', 'r') as txt:
        for lines in txt:
            part = lines.split()
            part_result = [int(i) for i in part]
            #sorted([(p[0], p[14]) for p in part_result], key=lambda x: x[1])
            print(part_result)
            major_array.append(part_result)
         return major_array
",<python><list>
55232997,2,Print every other string character * Index position* 2+2,"<p>I am trying to build a Python function that returns a string that contains every other character duplicated by the following algorithm:</p>

<pre><code>Index position * 2 + 2
</code></pre>

<p>for example: <code>Testing --&gt; TTssssssiiiiiiiiiigggggggggggggg</code></p>

<p>Below is my code but I get an error:</p>

<blockquote>
  <p>IndexError: string index out of range </p>
</blockquote>

<p>Version A:</p>

<pre><code>def string_expansion(input_string):
i = 0
while i &lt; len(string):
    i += 1
    if input_string[::2] == string[i]:
        return input_string[i] * (i * 2) + 2
</code></pre>

<p>second version returns none when I pass an argument</p>

<p>Version B:</p>

<pre><code>def string_expansion(input_string):
i = 0
while i &lt; len(string):
    if input_string[::2] == string[i]:
        return input_string[i] * (i * 2) + 2
    i += 1
</code></pre>

<p>Any assistance would be greatly appreciated. Thank you.</p>
","def string_expansion(input_string):
    i = 0
    str=""""
    while i &lt; len(input_string):
        str =str+input_string[i] * ((i * 2) + 2)
        i=i+2        
    print(str)
string_expansion(""testing"")
",<python><loops>
53367639,2,Merging 2 lists (not using pandas),"<p>I am trying to do an inner join with 2 lists in python, without using pandas or numpy libraries.</p>

<p>The function combine has parameters:
One: first list; Two: second list; left: indice of column in first list; right: indice of column in second list</p>

<p>I am trying to combine the 2 lists based on the indices of each list having elements that equal and then joining their elements together.</p>

<p>So far I have this code: </p>

<pre><code>def combine(one, two, left, right):
    combined = []
    for x in one:                         #for elements in list one
        for y in two:                     #for elements in list two
            if x[left] == y[right]:       #if both elements at each indice equal
                combined = [x,y]          #place x and y values into combined list

    print(combined)


one = [['apple', 'fruit'],
       ['broccoli', 'vegetable']]
two = [['fruit', '1'],
       ['vegetable', '1']]

combine(one, two, 1, 0 )
</code></pre>

<p>For some reason i am getting an empty list:  []</p>

<p>The desired output is:</p>

<pre><code> [['apple', 'fruit', 'fruit', '1'],
 ['broccoli', 'vegetable', 'vegetable', '1']]
</code></pre>

<p>Any ideas/tips of how i can accomplish this?</p>
","def combine(one, two, left, right):
    combined = []
    for x in one:  #for elements in list one
        for y in two:  #for elements in list two
            if x[left] == y[right]:  #if both elements at each indice equal
                combined.append(
                    x + y)  #place x and y values into combined list

    print(combined)


one = [['apple', 'fruit'], ['broccoli', 'vegetable']]
two = [['fruit', '1'], ['vegetable', '1']]

combine(one, two, 1, 0)
",<python><python-2.7>
